segment_id,segment_name,axis,parent_segment_id,tags,notes
leisure_tourist,Leisure Tourist,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;intent:vacation;ppim_brand_dimension:personalization;ppim_brand_dimension:upgrade,Primary STVR segment; high seasonality; price-sensitive in shoulder
business_traveler,Business Traveler,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;intent:work_trip;reimbursement_likely:true;ppim_brand_dimension:responsiveness;ppim_brand_dimension:quality,Higher ADR tolerance; workspace + wifi non-negotiable; receipts critical
digital_nomad,Digital Nomad,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;intent:remote_work;stay_duration:extended;ppim_brand_dimension:quality;ppim_brand_dimension:personalization,30+ day stays; wifi + workspace + neighborhood vibrancy weighted heavily
wedding_party,Wedding Party,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;sub_vertical:event_stay;intent:wedding;group_size:large;ppim_brand_dimension:resolution;ppim_brand_dimension:personalization,Group bookings 4+ units; high LTV; concierge service expected
honeymoon,Honeymoon,trip_purpose,leisure_tourist,industry:hospitality;sub_vertical:short_term_rental;intent:honeymoon;ppim_brand_dimension:upgrade;ppim_brand_dimension:personalization,Premium tier; high ADR tolerance; one-time but high referral
medical_tourism,Medical Tourism,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;intent:medical_travel;stay_duration:extended;ppim_brand_dimension:resolution;ppim_brand_dimension:responsiveness,Dental + cosmetic in Mexico; mid-stay 7-21 days; accessibility-aware
real_estate_explorer,Real Estate Explorer,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;intent:property_research;cross_sell:property_sales;ppim_brand_dimension:quality,Try-before-buy; cross-sell to Carmen Beach sales side; high LTV
relocation,Pre-Relocation Stay,trip_purpose,,industry:hospitality;sub_vertical:short_term_rental;sub_vertical:executive_housing;intent:relocation_evaluation;stay_duration:extended;ppim_brand_dimension:resolution,30-90 day stays; transitioning to long-term; high conversion to sales
spring_break,Spring Break,trip_purpose,leisure_tourist,industry:hospitality;sub_vertical:short_term_rental;intent:vacation;seasonality:spring_peak;age_skew:college,Mar-Apr surge; party-skew; noise + damage risk higher
family_with_kids,Family with Kids,party_composition,,industry:hospitality;sub_vertical:short_term_rental;party_size:3_to_6;child_friendly:required;ppim_brand_dimension:resolution,Pool + crib + kitchen + space priorities; longer booking window
couple,Couple,party_composition,,industry:hospitality;sub_vertical:short_term_rental;party_size:2;ppim_brand_dimension:upgrade,Largest STVR segment; flexibility valued; romance amenities boost
solo_traveler,Solo Traveler,party_composition,,industry:hospitality;sub_vertical:short_term_rental;party_size:1;ppim_brand_dimension:responsiveness,Smaller unit fit; safety + walkability + community-ish weighted
group_4plus,Friend Group 4+,party_composition,,industry:hospitality;sub_vertical:short_term_rental;party_size:4_to_10;ppim_brand_dimension:personalization,Bedrooms + bathrooms count; common area large; party-risk filter
multi_gen_family,Multi-Generational Family,party_composition,family_with_kids,industry:hospitality;sub_vertical:short_term_rental;party_size:6_plus;accessibility:often_required;ppim_brand_dimension:resolution,Grandparents + parents + kids; single-floor + accessibility priorities
budget_band_low,Budget — Low,budget_band,,industry:hospitality;sub_vertical:short_term_rental;adr_band:under_80;price_sensitivity:high,Below $80 ADR; competes with hostels + low-tier hotels
budget_band_mid,Budget — Mid-Market,budget_band,,industry:hospitality;sub_vertical:short_term_rental;adr_band:80_to_180;price_sensitivity:moderate,$80-$180 ADR; Playa avg falls here ($135 median)
budget_band_luxury,Budget — Luxury,budget_band,,industry:hospitality;sub_vertical:short_term_rental;adr_band:180_to_500;price_sensitivity:low;ppim_brand_dimension:upgrade,$180-$500 ADR; premium amenities + service expected
budget_band_ultra,Budget — Ultra-Luxury,budget_band,,industry:hospitality;sub_vertical:short_term_rental;adr_band:over_500;price_sensitivity:none;ppim_brand_dimension:upgrade;service:concierge,$500+ ADR; concierge + private chef + transfers standard
stay_weekend,Stay — Weekend (2-3 nights),stay_duration,,industry:hospitality;sub_vertical:short_term_rental;los_nights:2_to_3;turnover_high:true,Quick trips; turnover cost weight high; domestic skew
stay_short,Stay — Short (4-7 nights),stay_duration,,industry:hospitality;sub_vertical:short_term_rental;los_nights:4_to_7,Most common STVR pattern; matches Playa baseline 4-night ALOS
stay_extended,Stay — Extended (8-29 nights),stay_duration,,industry:hospitality;sub_vertical:short_term_rental;los_nights:8_to_29;discount_expected:true,Weekly + biweekly discount common 10-20%
stay_monthly,Stay — Monthly (30+ nights),stay_duration,,industry:hospitality;sub_vertical:short_term_rental;sub_vertical:medium_term_rental;los_nights:30_plus;tax_regime_changes:true,IVA exempt > 6mo; digital nomad + relocation segments
booking_window_last_min,Booking — Last Minute (0-7d),booking_window,,industry:hospitality;sub_vertical:short_term_rental;lead_time_days:0_to_7;price_sensitivity:varies,Dynamic pricing critical; same-week fills
booking_window_near,Booking — Near-Term (8-30d),booking_window,,industry:hospitality;sub_vertical:short_term_rental;lead_time_days:8_to_30,Most common booking window for leisure
booking_window_advance,Booking — Advance (31-90d),booking_window,,industry:hospitality;sub_vertical:short_term_rental;lead_time_days:31_to_90;cancellation_risk:moderate,Family + group bookings cluster here
booking_window_far,Booking — Far Advance (90+d),booking_window,,industry:hospitality;sub_vertical:short_term_rental;lead_time_days:90_plus;cancellation_risk:higher;deposit_likely:true,Peak season + special events (Dec + spring break)
origin_us_canada,Origin — US/Canada,origin_market,,industry:hospitality;sub_vertical:short_term_rental;country_of_origin:us;country_of_origin:canada;language:english;currency_paid:usd,~60% of Playa STVR demand; weekend skew
origin_mexico_domestic,Origin — Mexico Domestic,origin_market,,industry:hospitality;sub_vertical:short_term_rental;country_of_origin:mexico;language:spanish;currency_paid:mxn;regime:domestic_tax,Domestic price-sensitive; long-weekend skew; lower ADR
origin_europe,Origin — Europe,origin_market,,industry:hospitality;sub_vertical:short_term_rental;continent_of_origin:europe;language:multi;currency_paid:eur;los_skew:longer,Longer stays (avg 8-14d); Q1 + Q4 peaks
origin_latam_intl,Origin — LatAm International,origin_market,,industry:hospitality;sub_vertical:short_term_rental;continent_of_origin:latam_non_mx;language:spanish;currency_paid:usd_or_local,Argentinian + Brazilian + Chilean cohorts; counter-seasonal
origin_asia_pacific,Origin — Asia Pacific,origin_market,,industry:hospitality;sub_vertical:short_term_rental;continent_of_origin:asia;language:multi;los_skew:longer;booking_window:far,Smaller share; longer LOS + far-advance bookings
ages_under_25,Age — Under 25,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:18;age_max:24;budget_skew:low,Spring break + backpacker overlap; party-risk filter
ages_25_34,Age — 25-34,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:25;age_max:34;digital_nomad_overlap:high,Largest digital nomad cohort
ages_35_54,Age — 35-54,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:35;age_max:54;family_overlap:high,Family-trip prime; highest avg booking value
ages_55_plus,Age — 55+,age_band,,industry:hospitality;sub_vertical:short_term_rental;age_min:55;los_skew:longer;accessibility:often_required,Snowbirds + retirees; long-stay anchor; off-peak demand
returning_guest,Lifecycle — Returning Guest,lifecycle_stage,,industry:hospitality;sub_vertical:short_term_rental;past_bookings:1_plus;direct_likely:true;ppim_brand_dimension:personalization,Direct-booking-likely; LTV multiplier 2-3x first-time
loyal_advocate,Lifecycle — Loyal Advocate,lifecycle_stage,returning_guest,industry:hospitality;sub_vertical:short_term_rental;past_bookings:3_plus;referrals:1_plus;ppim_brand_dimension:upgrade,Top 5% of customers; referral source; testimonial source
first_time_guest,Lifecycle — First Time Guest,lifecycle_stage,,industry:hospitality;sub_vertical:short_term_rental;past_bookings:0;source:ota_typical;ppim_brand_dimension:responsiveness;ppim_brand_dimension:resolution,Critical first-impression window; review-likelihood determined here
